2534425	2919220	59
2517807	2919220	58
177856	2919220	59
2100245	2919220	59
1846030	2919220	59
2030914	2919220	59
3287022	2919220	59
618689	3050276	35
2747241	2919220	58
4106045	2919220	59
3198874	3050276	17
163997	2919220	58
3034661	2919220	59
1273409	3050276	17
2609842	3050276	35
3018376	2919220	59
2818379	3050276	17
805141	2919220	59
1191313	3050276	17
1997599	3050276	35
1895298	2919220	59
1617369	2919220	59
1663678	2919220	59
4323753	3050276	17
4652430	2919220	59
880863	2919220	59
2782794	2919220	59
3524607	3050276	17
4211285	2919220	59
1638444	2919220	58
74202	3050276	17
195073	3050276	17
286460	3050276	17
1386858	3050276	35
3138564	2919220	59
3395312	3050276	17
460233	2919220	59
73233	3050276	17
1605068	2919220	58
4206247	3050276	17
2916656	3050276	35
3079531	2919220	59
1994719	2919220	978
3616302	2919220	59
2409400	3050276	17
2166784	2919220	59
3464770	3050276	17
3812598	3050276	17
510101	2919220	59
56388	3050276	17
2032120	3050276	17
496022	2919220	58
3686972	3050276	17
559438	2919220	59
3243653	93608	190
3751578	2919220	59
1445245	3050276	17
822864	3050276	17
600622	2919220	59
1852690	3050276	17
4446860	3050276	17
4486396	3050276	17
2647538	3050276	17
1074796	3050276	17
3021682	2919220	58
2010983	3050276	35
1909061	3050276	17
2562185	3050276	17
4081955	2919220	58
880863	3050276	17
819488	3050276	17
1910022	3050276	17
1335313	2919220	59
3906194	3050276	17
1043291	2919220	59
1215572	3050276	17
3804836	2919220	59
2080950	3050276	17
1869397	2919220	59
1838460	3050276	17
3410670	2919220	59
136277	3050276	17
1998542	3050276	17
3626004	2919220	59
1336616	2919220	59
2589742	2864161	372
2702851	3050276	17
2882282	3050276	17
1361816	3050276	17
406763	2919220	59
3712445	2919220	59
2686812	3050276	17
3085577	2919220	58
2058427	2919220	59
1178208	2919220	59
1104381	3462811	61
373709	3050276	17
4110815	3050276	17
3898698	2919220	59
4520918	2919220	58
3928454	3050276	17
682640	2919220	59
1779005	2919220	59
3316439	2919220	58
2813596	2919220	59
1479786	3050276	17
4176785	2919220	59
2639070	3050276	17
1785543	3050276	35
2799452	2919220	59
2556198	2919220	58
1923559	2919220	59
1372772	3050276	35
1256238	2919220	59
2621837	3050276	17
2190392	2919220	59
3047973	2919220	59
3301701	2919220	59
2797876	2919220	59
3734307	3050276	17
1481961	2919220	59
1403030	2919220	59
2993273	2919220	59
2212242	2919220	58
830111	2919220	59
4429999	2919220	59
668902	3050276	17
2963521	3050276	17
2085351	2919220	59
2830315	2919220	59
3592610	2919220	59
3804836	3050276	17
1812696	2919220	59
109328	2919220	58
3198774	3050276	17
1754815	3050276	17
2410373	2919220	59
2698473	2919220	59
538096	2139959	180
2144705	3050276	17
