1068248	439740	71
439740	2309915	74
3790154	3699744	58
1398414	1095366	35
1109837	1095366	35
3597635	4514417	6
952633	1095366	349
2310181	1095366	35
1331647	3699744	58
328212	3699744	58
3541358	4514417	6
4011239	1095366	35
1095366	1061166	63
2561468	1095366	35
439740	3961813	74
4327463	4514417	6
872648	2366400	71
4581818	4514417	6
3334677	4514417	6
439740	1331634	74
2324647	439740	75
439740	3275303	74
3152650	439740	71
2974388	4514417	6
1596879	3321671	440
3921915	3699744	58
1825300	301288	17
669813	3699744	58
3494610	3699744	58
2156770	439740	71
2434506	3699744	58
439740	620800	74
439740	3762635	74
4420618	3699744	58
4412423	3699744	58
1642431	3699744	58
3330110	439740	71
2185094	1095366	35
86964	439740	71
157926	2531393	71
3980408	3699744	58
3794223	3699744	58
3597635	3050276	17
1498050	1095366	35
820414	4081540	72
2366400	3044006	74
1244154	439740	71
3222178	4514417	6
3701712	3050276	17
4634348	3699744	58
3515944	1242276	74
4177076	1095366	35
559473	3699744	58
3682056	3699744	58
1095366	12600	151
499375	2366400	71
3092939	3699744	58
4221925	1095366	35
2728113	3699744	58
1996196	3699744	58
1384700	439740	71
1788793	439740	52
572326	670165	71
2366400	523647	74
102949	3699744	58
1061166	1095366	349
1667680	937444	72
3023131	3050276	17
2762664	4514417	6
4434854	439740	71
1095366	2641974	63
1968020	439740	71
3739221	1095366	35
3738352	3699744	58
1662106	439740	75
3950002	3699744	58
1460713	3699744	58
848632	2574764	71
519603	3699744	58
935713	3515944	71
3476412	1095366	35
4252288	3050276	47
501168	2531393	71
2489363	3699744	58
1483048	4514417	6
2366400	3289502	74
2543289	1095366	35
1298112	3699744	58
2921692	439740	71
2267390	3699744	58
992828	1095366	35
3409388	970449	74
439740	3631006	74
656570	2736895	72
2493429	3699744	58
439740	3942461	74
1224442	1095366	35
4214451	1095366	35
1763525	3699744	58
3145561	4514417	6
173147	4514417	6
3575674	1596879	519
1029405	1095366	35
3964641	4102634	77
1940761	3699744	58
2192033	3699744	58
4442847	3699744	58
1764918	3050276	17
4124529	2092996	16
366854	1095366	35
1076434	1095366	35
2335624	3699744	58
2948549	3699744	58
